/Users/alexmann/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Processing Nashville Predators at Washington Capitals, ID: d48223d79cf677c9fd1c0d1a4663385d
Processing Detroit Red Wings at Chicago Blackhawks, ID: bbbdad8ca7da439e69cf021aeed1ad5e
Processing Vegas Golden Knights at Edmonton Oilers, ID: ec2dfed84bb75c82b42727eb673202c2
Player: Zach Hyman
  Bookmaker: BetMGM, Over/Under: Over, Price: 2.1, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Under, Price: 1.65, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Over, Price: 2.16, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Under, Price: 1.66, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
Player: Viktor Arvidsson
  Bookmaker: DraftKings, Over/Under: Over, Price: 1.62, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Under, Price: 2.26, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Under, Price: 2.25, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Over, Price: 1.61, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Over, Price: 1.61, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Under, Price: 2.25, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Over, Price: 1.65, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Under, Price: 2.18, Points: 2.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
Player: William Karlsson
  Bookmaker: DraftKings, Over/Under: Over, Price: 1.62, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: DraftKings, Over/Under: Under, Price: 2.26, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Under, Price: 2.27, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetOnline.ag, Over/Under: Over, Price: 1.6, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Over, Price: 1.61, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: BetMGM, Over/Under: Under, Price: 2.2, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Over, Price: 1.61, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
  Bookmaker: FanDuel, Over/Under: Under, Price: 2.26, Points: 1.5, Home Team: Edmonton Oilers, Away Team: Vegas Golden Knights
Used requests: 40
Remaining requests: 460
/Users/alexmann/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Fetching and storing player data with weights: x_10 = 5, x_2024 = 3, x_2023 = 2, x_2022 = 1
Using ledger: daily_ledger_scaled, model table: modelled_likelihoods
Found 108 players to model.
Player Jiri Kulich not found in either team Buffalo Sabres (BUF) or team Ottawa Senators (OTT) roster.
Player Jiri Kulich not found in either team Buffalo Sabres (BUF) or team Ottawa Senators (OTT) roster.
No valid game log data available for player ID: 8484387 before date 2024-11-05 for season 20232024.
No valid game log data available for player ID: 8484387 before date 2024-11-05 for season 20222023.
Matvei Michkov has less than 60 GP.
No valid game log data available for player ID: 8484387 before date 2024-11-05 for season 20232024.
No valid game log data available for player ID: 8484387 before date 2024-11-05 for season 20222023.
Matvei Michkov has less than 60 GP.
No valid game log data available for player ID: 8484958 before date 2024-11-05 for season 20232024.
No valid game log data available for player ID: 8484958 before date 2024-11-05 for season 20222023.
Maxim Tsyplakov has less than 60 GP.
No valid game log data available for player ID: 8484958 before date 2024-11-05 for season 20232024.
No valid game log data available for player ID: 8484958 before date 2024-11-05 for season 20222023.
Maxim Tsyplakov has less than 60 GP.
Brandt Clarke has less than 60 GP.
Brandt Clarke has less than 60 GP.
No valid game log data available for player ID: 8483445 before date 2024-11-05 for season 20222023.
Cutter Gauthier has less than 60 GP.
No valid game log data available for player ID: 8483445 before date 2024-11-05 for season 20222023.
Cutter Gauthier has less than 60 GP.
No valid game log data available for player ID: 8484801 before date 2024-11-05 for season 20232024.
No valid game log data available for player ID: 8484801 before date 2024-11-05 for season 20222023.
Macklin Celebrini has less than 60 GP.
No valid game log data available for player ID: 8484801 before date 2024-11-05 for season 20232024.
No valid game log data available for player ID: 8484801 before date 2024-11-05 for season 20222023.
Macklin Celebrini has less than 60 GP.
No valid game log data available for player ID: 8484144 before date 2024-11-06 for season 20222023.
No valid game log data available for player ID: 8484144 before date 2024-11-06 for season 20222023.
/Users/alexmann/Documents/Code_Learning/nhl_fromscratch/weight_test.py:4: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd # type: ignore
/Users/alexmann/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Python interpreter: /Library/Developer/CommandLineTools/usr/bin/python3
Created table daily_ledger_scaled_weight3
Created table modelled_likelihoods_weight3
Fetching and storing player data with weights: x_10 = 3, x_2024 = 3, x_2023 = 2, x_2022 = 1
Using ledger: daily_ledger_scaled_weight3, model table: modelled_likelihoods_weight3
Found 108 players to model.
Player Jiri Kulich not found in either team Buffalo Sabres (BUF) or team Ottawa Senators (OTT) roster.
Player Jiri Kulich not found in either team Buffalo Sabres (BUF) or team Ottawa Senators (OTT) roster.
No valid game log data available for player ID: 8484387 before date 2024-11-05 for season 20232024.
No valid game log data available for player ID: 8484387 before date 2024-11-05 for season 20222023.
Matvei Michkov has less than 60 GP.
No valid game log data available for player ID: 8484387 before date 2024-11-05 for season 20232024.
No valid game log data available for player ID: 8484387 before date 2024-11-05 for season 20222023.
Matvei Michkov has less than 60 GP.
No valid game log data available for player ID: 8484958 before date 2024-11-05 for season 20232024.
No valid game log data available for player ID: 8484958 before date 2024-11-05 for season 20222023.
Maxim Tsyplakov has less than 60 GP.
No valid game log data available for player ID: 8484958 before date 2024-11-05 for season 20232024.
No valid game log data available for player ID: 8484958 before date 2024-11-05 for season 20222023.
Maxim Tsyplakov has less than 60 GP.
Brandt Clarke has less than 60 GP.
Brandt Clarke has less than 60 GP.
No valid game log data available for player ID: 8483445 before date 2024-11-05 for season 20222023.
