id,player_name,date,over_under,points,implied_likelihood,normal_likelihood,poisson_likelihood,raw_data_likelihood,weighted_likelihood,poisson_kelly,kelly/4 365, bet ,99/pinn implied,kelly/4 99, bet99/pinn ,W/L:, del$ ,,bankroll,2161.23%,FACTOR:,wagered:, $-   
7034,Brandon Montour,2024-11-20,Under,2.5,49.75%,40.25%,44.63%,44.51%,44.20%,-2.55%,,,,,,,,,,,,,
7035,Daniel Sprong,2024-11-20,Over,1.5,61.73%,65.70%,63.03%,61.44%,59.39%,0.85%,,,,,,,,,,,,,
7036,Daniel Sprong,2024-11-20,Under,1.5,43.86%,34.30%,36.97%,38.56%,40.61%,-3.07%,,,,,,,,,,,,,
7037,Filip Forsberg,2024-11-20,Over,3.5,55.56%,56.25%,53.10%,51.66%,53.02%,-1.38%,,,,,,,,,,,,,
7038,Filip Forsberg,2024-11-20,Under,3.5,50.76%,43.75%,46.90%,48.34%,46.98%,-1.96%,,,,,,,,,,,,,
7039,Jaden Schwartz,2024-11-20,Over,2.5,40.82%,39.61%,35.13%,35.53%,34.73%,-2.40%,,,,,,,,,,,,,
7040,Jaden Schwartz,2024-11-20,Under,2.5,65.36%,60.39%,64.87%,64.47%,65.27%,-0.35%,,,,,,,,,,,,,
7041,Jared McCann,2024-11-20,Over,2.5,57.47%,54.39%,50.02%,50.00%,48.69%,-4.38%,,,,,,,,,,,,,
7042,Jared McCann,2024-11-20,Under,2.5,48.54%,45.61%,49.98%,50.00%,51.31%,0.70%,,,,,,,,,,,,,
7043,Jonathan Marchessault,2024-11-20,Over,2.5,58.82%,63.01%,60.31%,64.97%,65.80%,0.90%,,,,,,,,,,,,,
7044,Jonathan Marchessault,2024-11-20,Under,2.5,47.17%,36.99%,39.69%,35.03%,34.20%,-3.54%,,,,,,,,,,,,,
7045,Luke Evangelista,2024-11-20,Over,1.5,57.47%,64.16%,61.68%,60.98%,61.35%,2.47%,,,,,,,,,,,,,
